id,nom,description,url publique,url API,fichiers,indicateur qualité,qualité,service producteur,nombre réutilisation,tags,groups,territorial coverage,territorial coverage granularity,temporal_coverage_from,temporal_coverage_to,license,revision
elections-europeennes-2009-resultats-571327,Elections européennes 2009 - Résultats,"Résultats des élections européennes de 2009 par circonscriptions européennes, régions, départements, circonscriptions législatives et cantons",http://www.data.gouv.fr/fr/dataset/elections-europeennes-2009-resultats-571327,http://www.data.gouv.fr/api/3/action/package_show?id=elections-europeennes-2009-resultats-571327,"
XLS: http://static.data.gouv.fr/e0/88c770f067e9bc4cfd3dea656aa69b15add243c1c4c367a85d7314e74fde63.xls","",,,0,"",societe,Country/FR/FRANCE,,2012-11-23,2012-11-23,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-04T14:51:15.635350
elections-municipales-2001-resultats-572156,Elections municipales 2001 – Résultats,"Résultats des élections municipales de 2001, tours 1 et 2, pour les communes de plus de 3 500 habitants (scrutin de liste et déclaration de candidature obligatoire)",http://www.data.gouv.fr/fr/dataset/elections-municipales-2001-resultats-572156,http://www.data.gouv.fr/api/3/action/package_show?id=elections-municipales-2001-resultats-572156,"
XLS: http://static.data.gouv.fr/a8/7ed1963602a96808a3795400346086fb22e940ee1f1b87d0e8cd189fe6d12b.xls","",,,0,"",societe,Country/FR/FRANCE,,2001-03-11,2001-03-18,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:49:36.809074
elections-cantonales-2004-resultats-572045,Elections cantonales 2004 – Résultats,"Résultats des élections cantonales de 2004, tours 1 et 2,  par régions, départements, circonscriptions législatives, cantons et liste des élus à l’issue de l’élection",http://www.data.gouv.fr/fr/dataset/elections-cantonales-2004-resultats-572045,http://www.data.gouv.fr/api/3/action/package_show?id=elections-cantonales-2004-resultats-572045,"
XLS: http://static.data.gouv.fr/24/3e463e02def1d6b581092bf8c02783222832b4c2c2094cb2c23136ca10b350.xls","",,,0,"",societe,Country/FR/FRANCE,,2004-03-21,2004-03-28,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:58:18.072610
elections-cantonales-2004-resultats-572047,Elections cantonales 2004 – Résultats,"Résultats des élections cantonales de 2004, tours 1 et 2,  par communes",http://www.data.gouv.fr/fr/dataset/elections-cantonales-2004-resultats-572047,http://www.data.gouv.fr/api/3/action/package_show?id=elections-cantonales-2004-resultats-572047,"
XLS: http://static.data.gouv.fr/9b/5859d129bf0b560f54ef924b7a3a1389c7fc5d0883053841cfd28ade356f56.xls","",,,0,"",societe,Country/FR/FRANCE,,2004-03-21,2004-03-28,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:58:12.858897
comportement-des-usagers-de-la-route-annee-2009-30379529,Comportement des usagers de la route - année 2009,"Comportement des usagers de la route - année 2009 (détail du nombre des infractions par délits et contraventions, par infractions et famille d'infractions et tableau récapitulatif)",http://www.data.gouv.fr/fr/dataset/comportement-des-usagers-de-la-route-annee-2009-30379529,http://www.data.gouv.fr/api/3/action/package_show?id=comportement-des-usagers-de-la-route-annee-2009-30379529,"
XLS: http://static.data.gouv.fr/d0/7797fdd3448d5e0bd26b7ab54c6e0221ee3de43779a27d6ff63dede4d8f610.xls","",,,0,"",societe,Country/FR/FRANCE,,2009-01-01,2009-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T10:05:24.866316
permis-a-points-annee-2009-30379877,Permis à points - année 2009,"Données nationales (synthèse générale) et départementales sur le permis à points (Nombre et évolution de chacune des infractions pour l'année 2009, nombre des infractions par famille d'infractions, nombre d'infractions entraînant un retrait de points, nombre de points retirés, nombre de permis invalidés pour solde de points nul, permis probatoires invalidés pour solde de points nul, nombre des permis au capital de points reconstitué)",http://www.data.gouv.fr/fr/dataset/permis-a-points-annee-2009-30379877,http://www.data.gouv.fr/api/3/action/package_show?id=permis-a-points-annee-2009-30379877,"
XLS: http://static.data.gouv.fr/45/150e8fac21d143b060628f6fff6579cfe3d506085e93e6e76710209d00553b.xls","",,,0,"",societe,Country/FR/FRANCE,,2009-01-01,2009-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:55:45.980593
liste-des-points-d-accueil-de-la-gendarmerie-nationale,Liste des points d'accueil de la gendarmerie nationale,"Fichier d'export sur les unités de gendarmerie accueillant du public. Chaque unité a : Le nom de l'unité,  La localité de l'unité, Le numéro de téléphone de l'unité, Le numéro de faxe de l'unité, L'adresse postale de l'unité et L'adresse géographique de l'unité ",http://www.data.gouv.fr/fr/dataset/liste-des-points-d-accueil-de-la-gendarmerie-nationale,http://www.data.gouv.fr/api/3/action/package_show?id=liste-des-points-d-accueil-de-la-gendarmerie-nationale,"Liste-des-unites-gendarmerie-geocodees.csv
CSV: https://www.data.gouv.fr/storage/f/2014-01-14T15-04-52/Export_gendarmerie_geocodes.csv","",,,1,"accueil, accueil-de-jour, accueil-du-public, adresse, fichier-unite, gendarmerie, gendarmerie-nationale, geocodage, gn, obligations-de-service-public, point-geographique, stsisi, unite",societe,country/fr/france,commune,2014-01-01,2014-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-11-28T15:04:18.776488
points-d-accueil-police-coordonnees-petite-couronne-30379776,Points d'accueil police (coordonnées) - Petite couronne,"Liste des points d'accueil police pour les départements de petite couronne (92, 93, 94) répertoriant par district les services, adresses, téléphones, horaires",http://www.data.gouv.fr/fr/dataset/points-d-accueil-police-coordonnees-petite-couronne-30379776,http://www.data.gouv.fr/api/3/action/package_show?id=points-d-accueil-police-coordonnees-petite-couronne-30379776,"
CSV: http://static.data.gouv.fr/a2/5abb8f8089c261e1cac869a2e7cc49e65eaa69643969a55a8f92bef325f985.csv

Télécharger Cartographie des emplacements des commissariats à Paris et petite couronne
: http://static.data.gouv.fr/fd/f80a270717becba99a32317439a9d077091a431ac8e62f0c62a129a1fa9765.kml","",,,1,"",societe,"DepartmentOfFrance/92/92 HAUTS DE SEINE,DepartmentOfFrance/93/93 SEINE ST DENIS,DepartmentOfFrance/94/94 VAL DE MARNE",,2011-01-01,2011-01-01,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:50:59.103788
base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees-france-entiere-2006-2011-564096,Base de données accidents corporels de la circulation sur 6 années - France entière - 2006-2011,"Cette base est extraite du fichier national des accidents corporels de la circulation, dit « Fichier BAAC1 », administré par l’Observatoire interministériel de la sécurité routière. Pour chaque accident corporel (soit un accident survenu sur une voie ouverte à la circulation publique, impliquant au moins un véhicule et ayant fait au moins une victime ayant nécessité des soins), les saisies d’information sont effectuées par l’unité des forces de l’ordre (police, gendarmerie, etc.) qui est intervenue sur le lieu de l’accident. 
La base répertorie l'intégralité des accidents corporels de la circulation intervenus de 2006 à 2011 en France (4 DOM inclus, à savoir Guadeloupe, Guyane, Martinique et La Réunion), avec leur description simplifiée (plus un indice de gravité – défini plus loin). Cela inclue toutes les informations de localisation disponibles dans le Fichier BAAC, telles qu’elles y sont renseignées ainsi que les informations concernant les véhicules et leurs victimes. 

Cette base comporte 454 372 accidents (440 695 pour la métropole et 13 677 pour les DOM) et 775 422 véhicules présents dans les accidents (751 831 pour la métropole et 23 591 pour les DOM).

Elle est notablement plus détaillée que la base de données 2005-2010 postée précédemment sur Etalab (à l’automne 2011).",http://www.data.gouv.fr/fr/dataset/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees-france-entiere-2006-2011-564096,http://www.data.gouv.fr/api/3/action/package_show?id=base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees-france-entiere-2006-2011-564096,"
CSV: http://static.data.gouv.fr/fe/fea60d07a33386148deed77f826e9fe6406eae855b8620aa4a16a78362196b.csv

Télécharger Description de la base de données ""accidents de la circulation""
: http://static.data.gouv.fr/8d/5652b7c417304db3380a3f621a3a5fc07f13d28a68726d452d220e9ac55da0.pdf

Télécharger Base de données véhicules impliqués
: http://static.data.gouv.fr/e0/2c08ee9469617e399bb6bb8a540cd5348695f3abde43bb0e5833dcf70d16a6.csv","",,,0,"",societe,Country/FR/FRANCE,,2006-01-01,2012-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-11-23T11:01:05.674489
base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees,Base de données accidents corporels de la circulation sur 6 années ,"Cette base est extraite du fichier national des accidents corporels de la circulation, dit « Fichier BAAC1 », administré par l’Observatoire interministériel de la sécurité routière. Pour chaque accident corporel (soit un accident survenu sur une voie ouverte à la circulation publique, impliquant au moins un véhicule et ayant fait au moins une victime ayant nécessité des soins), les saisies d’information sont effectuées par l’unité des forces de l’ordre (police, gendarmerie, etc.) qui est intervenue sur le lieu de l’accident. 
La base répertorie l'intégralité des accidents corporels de la circulation intervenus de 2006 à 2011 en France (4 DOM inclus, à savoir Guadeloupe, Guyane, Martinique et La Réunion), avec leur description simplifiée (plus un indice de gravité – défini plus loin). Cela inclue toutes les informations de localisation disponibles dans le Fichier BAAC, telles qu’elles y sont renseignées ainsi que les informations concernant les véhicules et leurs victimes. 

Cette base comporte 454 372 accidents (440 695 pour la métropole et 13 677 pour les DOM) et 775 422 véhicules présents dans les accidents (751 831 pour la métropole et 23 591 pour les DOM).

Elle est notablement plus détaillée que la base de données 2005-2010 postée précédemment sur Etalab (à l’automne 2011).",http://www.data.gouv.fr/fr/dataset/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees,http://www.data.gouv.fr/api/3/action/package_show?id=base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees,"
CSV: http://static.data.gouv.fr/fe/fea60d07a33386148deed77f826e9fe6406eae855b8620aa4a16a78362196b.csv

Télécharger Description de la base de données ""accidents de la circulation""
: http://static.data.gouv.fr/8d/5652b7c417304db3380a3f621a3a5fc07f13d28a68726d452d220e9ac55da0.pdf

Télécharger Base de données véhicules impliqués
: http://static.data.gouv.fr/e0/2c08ee9469617e399bb6bb8a540cd5348695f3abde43bb0e5833dcf70d16a6.csv","",,,4,"accident, circulation, circulation-routiere",societe,Country/FR/FRANCE,pays,2006-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-11-22T10:04:26.522766
